"424-0004243              ","    ","115/230V,SINGLE PRIMARY                      ","XFMR-THT","OTHER   ","0.00001","Active  ","BUY       "
"603-0004244              ","    ","BOLT,#4-40,1.5"" LONG                         ","HARDWARE","OTHER   ","0.00001","Active  ","BUY       "
"605-0004245              ","    ","#4,SPLITLOCK,STL w/ZINC                      ","HARDWARE","WASHER  ","0.0061","Active  ","BUY       "
"603-0004246              ","    ","#4-40,HEX NUT                                ","HARDWARE","NUT     ","0.0275","Active  ","BUY       "
"605-0004247              ","    ","#4,FLAT,STL w/ZINC                           ","HARDWARE","WASHER  ","0.0101","Active  ","BUY       "
"605-0004248              ","    ","#4,FLAT,NYLON                                ","HARDWARE","WASHER  ","0.00001","Active  ","BUY       "
"213-0004249              ","    ","VOLTAGE REGULATOR,+5VDC,1.0A                 ","XSTR-THT","TO220   ","0.00001","Active  ","BUY       "
"603-0004250              ","    ","BOLT,#6-32x .5"",LONG                         ","HARDWARE","OTHER   ","0.00001","Active  ","BUY       "
"605-0004251              ","    ","#4,SPLIT LOCK                                ","HARDWARE","WASHER  ","0.00001","Active  ","BUY       "
"603-0004252              ","    ","HEX NUT,#6-32                                ","HARDWARE","NUT     ","0.00001","Active  ","BUY       "
"605-0004253              ","    ","#6,FLAT,SS                                   ","HARDWARE","WASHER  ","0.00001","Active  ","BUY       "
"301-0004049              ","B   ","MCKESSON,246009,B,SPINE BOARD                ","PCB-RAW ","PTH     ","28.59","Active  ","BUY       "
"910-0004050              ","G   ","296009,SPINE,G                               ","FGI     ","PC-ASY  ","82.36337","Active  ","MAKE      "
"301-0004254              ","A   ","MCKESSON,246272,A,LIGHT DIST                 ","PCB-RAW ","PTH     ","4.17","Active  ","BUY       "
"406-0004257              ","    ","5K,10%,NTC,0805                              ","THERMIST","SMT     ","0.15","Active  ","BUY       "
"515-0004258              ","    ","SOCKET,RT,HORIZ,TB2                          ","CON-THT ","OTHER   ","0.00002","Active  ","BUY       "
"101-0004259              ","    ","10K,1/10W,5%                                 ","RES-SMT ","0805    ","0.00002","Active  ","BUY       "
"121-0004260              ","    ","1.0uF,16V,TANT,20%                           ","CAP-SMT ","CASE A  ","0.00002","Active  ","BUY       "
"121-0004261              ","    ","100uF,6.3V,ELECT,20%                         ","CAP-SMT ","CASE D  ","0.00002","Active  ","BUY       "
"121-0004262              ","    ",".1UF,25V,CER,XR7,10%                         ","CAP-SMT ","0805    ","0.00002","Inactive","BUY       "
"121-0004263              ","    ","47nF,25V,CER,X7R,20%                         ","CAP-SMT ","0805    ","0.00002","Active  ","BUY       "
"910-0004257              ","A   ","296272,LIGHT DIST NV,A                       ","FGI     ","PC-ASY  ","6.1516","Inactive","MAKE      "
